date/time,type,pid,description,quantity,fulfilment,product sales,postage credits,selling fees,fbsp fees,total
30 Jan 2021 22:42:43 UTC,Order,8W-08WK-I0XW,Death of a Polaroid - A Manics Family Album,1,Partner,8.86,0,-2.36,-4.14,2.36
31 Jan 2021 11:38:35 UTC,Order,7Y-5102-59WB,Farrow & Ball Recipes for Decorating,1,Partner,15.9,0,-3.43,-2.9,9.57
31 Jan 2021 12:18:34 UTC,Order,7Y-5102-59WB,Farrow & Ball Recipes for Decorating,1,Partner,15.9,0,-3.43,-2.9,9.57
31 Jan 2021 12:56:58 UTC,Order,16-1IDY-KTNJ,Critical Times,1,Partner,8.14,0,-2.25,-2.21,3.68
31 Jan 2021 13:38:01 UTC,Order,K0-WXFV-XIXA,Peter Alliss' Golf Heroes,1,Partner,8.99,0,-2.38,-1.66,4.95
31 Jan 2021 13:54:59 UTC,Order,16-1IDY-KTNJ,Critical Times,1,Partner,8.2,1.5,-2.25,-2.21,3.74
31 Jan 2021 14:16:38 UTC,Order,FT-7SOT-1MN5,The Law Of The Playground: A puerile and disturbing dictionary of playground insults and games,1,Partner,5.99,0,-1.92,-1.66,2.41
31 Jan 2021 14:55:20 UTC,Order,VG-R4KE-AX0R,"Jacobs Beach: The Mob, the Garden, and the Golden Age of Boxing",1,Partner,6,0,-1.92,-1.76,2.32
31 Jan 2021 15:00:35 UTC,Order,J5-GHUQ-D9IL,Seriously Good Gluten-Free Cooking in association with Coeliac UK,1,Partner,8.32,0,-2.27,-2.21,3.84
31 Jan 2021 15:17:32 UTC,Order,IE-O1Q3-ILCQ,First Knits: 20 irresistible hand knits for babies: 20 irresistible knits for babies,1,Partner,9.63,0,-2.47,-2.21,4.95
31 Jan 2021 16:23:29 UTC,Order,KZ-JCBO-HBPN,The Little Book of Wetland Bird Sounds (Sound Books),2,Partner,24.34,0,-5.72,-3.52,15.1
31 Jan 2021 16:24:25 UTC,Order,8V-H4OJ-LCEL,Hamlyn All Colour Cookery: 200 Pies & Tarts: Hamlyn All Colour Cookbook,1,Partner,8.47,0,-2.3,-1.76,4.41
31 Jan 2021 19:25:51 UTC,Order,YH-F25Y-4KH9,Color Me Jane: A Jane Austen Colouring Book,1,Partner,9.49,0,-2.45,-1.76,5.28
31 Jan 2021 19:34:44 UTC,Order,XR-669I-IDBK,Henry Cecil: Trainer of Genius,1,Partner,6.2,0,-1.95,-2.21,2.04
31 Jan 2021 19:41:18 UTC,Order,EH-YDCT-7B16,How to Be a Government Whip,1,Partner,9.49,0,-2.45,-1.76,5.28
